distrito,fecha,poblacion
TETUÁN,2014-06-01,151921
FUENCARRAL - EL PARDO,2014-07-01,233541
LATINA,2014-07-01,236126
VILLAVERDE,2014-07-01,141687
RETIRO,2014-07-01,118415
SALAMANCA,2014-07-01,142746
CHAMARTÍN,2014-07-01,141908
HORTALEZA,2014-07-01,173771
PUENTE DE VALLECAS,2014-07-01,227418
BARAJAS,2014-07-01,45727
TETUÁN,2014-07-01,151470
CHAMBERÍ,2014-07-01,137792
VICÁLVARO,2014-07-01,69580
CARABANCHEL,2014-07-01,241729
CIUDAD LINEAL,2014-07-01,213381
ARGANZUELA,2014-07-01,150786
VILLA DE VALLECAS,2014-07-01,99306
MORATALAZ,2014-07-01,95560
CENTRO,2014-07-01,131841
MONCLOA - ARAVACA,2014-07-01,115778
SAN BLAS-CANILLEJAS,2014-07-01,153027
USERA,2014-07-01,133018
CENTRO,2014-08-01,131939
PUENTE DE VALLECAS,2014-08-01,227493
SALAMANCA,2014-08-01,142749
VILLA DE VALLECAS,2014-08-01,99434
USERA,2014-08-01,133181
CARABANCHEL,2014-08-01,241779
CHAMARTÍN,2014-08-01,141891
SAN BLAS-CANILLEJAS,2014-08-01,153028
LATINA,2014-08-01,235900
MORATALAZ,2014-08-01,95549
ARGANZUELA,2014-08-01,150770
RETIRO,2014-08-01,118383
VILLAVERDE,2014-08-01,141772
TETUÁN,2014-08-01,151633
CIUDAD LINEAL,2014-08-01,213330
CHAMBERÍ,2014-08-01,137779
FUENCARRAL - EL PARDO,2014-08-01,233551
BARAJAS,2014-08-01,45757
HORTALEZA,2014-08-01,174152
VICÁLVARO,2014-08-01,69659
MONCLOA - ARAVACA,2014-08-01,115806
PUENTE DE VALLECAS,2014-09-01,228100
CHAMBERÍ,2014-09-01,138109
ARGANZUELA,2014-09-01,151090
MONCLOA - ARAVACA,2014-09-01,116375
USERA,2014-09-01,133522
SAN BLAS-CANILLEJAS,2014-09-01,153397
MORATALAZ,2014-09-01,95582
VILLAVERDE,2014-09-01,142099
CIUDAD LINEAL,2014-09-01,213527
CHAMARTÍN,2014-09-01,142048
BARAJAS,2014-09-01,45884
SALAMANCA,2014-09-01,143198
TETUÁN,2014-09-01,151834
FUENCARRAL - EL PARDO,2014-09-01,233874
LATINA,2014-09-01,236149
VICÁLVARO,2014-09-01,69740
CENTRO,2014-09-01,132348
HORTALEZA,2014-09-01,174714
VILLA DE VALLECAS,2014-09-01,99677
CARABANCHEL,2014-09-01,242230
RETIRO,2014-09-01,118548
VICÁLVARO,2014-10-01,69641
MONCLOA - ARAVACA,2014-10-01,116572
RETIRO,2014-10-01,118499
SALAMANCA,2014-10-01,143461
TETUÁN,2014-10-01,151815
ARGANZUELA,2014-10-01,151011
CARABANCHEL,2014-10-01,241592
VILLA DE VALLECAS,2014-10-01,99674
CENTRO,2014-10-01,132400
VILLAVERDE,2014-10-01,141784
HORTALEZA,2014-10-01,174825
MORATALAZ,2014-10-01,95336
PUENTE DE VALLECAS,2014-10-01,227700
CHAMARTÍN,2014-10-01,142127
USERA,2014-10-01,133426
FUENCARRAL - EL PARDO,2014-10-01,233905
SAN BLAS-CANILLEJAS,2014-10-01,153233
LATINA,2014-10-01,235684
CHAMBERÍ,2014-10-01,138338
CIUDAD LINEAL,2014-10-01,213129
BARAJAS,2014-10-01,45852
CHAMARTÍN,2014-11-01,142236
