"fecha","distrito","poblacion"
2013-10-01,"USERA","134.458"
2013-10-01,"VICÁLVARO"," 69.972"
2013-10-01,"VILLA DE VALLECAS"," 98.822"
2013-10-01,"VILLAVERDE","142.983"
2013-11-01,"ARGANZUELA","152.094"
2013-11-01,"BARAJAS"," 45.778"
2013-11-01,"CARABANCHEL","243.937"
2013-11-01,"CENTRO","135.183"
2013-11-01,"CHAMARTÍN","143.153"
2013-11-01,"CHAMBERÍ","139.250"
2013-11-01,"CIUDAD LINEAL","215.274"
2013-11-01,"FUENCARRAL - EL PARDO","233.322"
2013-11-01,"HORTALEZA","173.128"
2013-11-01,"LATINA","239.246"
2013-11-01,"MONCLOA - ARAVACA","116.217"
2013-11-01,"MORATALAZ"," 96.546"
2013-11-01,"PUENTE DE VALLECAS","229.743"
2013-11-01,"RETIRO","119.197"
2013-11-01,"SALAMANCA","144.052"
2013-11-01,"SAN BLAS-CANILLEJAS","153.928"
2013-11-01,"TETUÁN","153.029"
2013-11-01,"USERA","134.352"
2013-11-01,"VICÁLVARO"," 69.899"
2013-11-01,"VILLA DE VALLECAS"," 98.890"
2013-11-01,"VILLAVERDE","142.746"
2013-12-01,"ARGANZUELA","152.052"
2013-12-01,"BARAJAS"," 45.721"
2013-12-01,"CARABANCHEL","243.573"
2013-12-01,"CENTRO","134.937"
2013-12-01,"CHAMARTÍN","143.124"
2013-12-01,"CHAMBERÍ","139.176"
2013-12-01,"CIUDAD LINEAL","214.974"
2013-12-01,"FUENCARRAL - EL PARDO","233.198"
2013-12-01,"HORTALEZA","173.122"
2013-12-01,"LATINA","238.858"
2013-12-01,"MONCLOA - ARAVACA","116.147"
2013-12-01,"MORATALAZ"," 96.471"
2013-12-01,"PUENTE DE VALLECAS","229.508"
2013-12-01,"RETIRO","119.148"
2013-12-01,"SALAMANCA","144.095"
2013-12-01,"SAN BLAS-CANILLEJAS","153.788"
2013-12-01,"TETUÁN","153.143"
2013-12-01,"USERA","134.154"
2013-12-01,"VICÁLVARO"," 69.884"
2013-12-01,"VILLA DE VALLECAS"," 98.933"
2013-12-01,"VILLAVERDE","142.502"
2014-01-01,"ARGANZUELA","151.677"
2014-01-01,"BARAJAS"," 45.661"
2014-01-01,"CARABANCHEL","242.717"
2014-01-01,"CENTRO","134.319"
2014-01-01,"CHAMARTÍN","142.968"
