Fecha;Lugar;Precio_m2;Variacion_mensual;Variacion_trimestral;Variacion anual
dic-23;Barajas;14;0;3,2;12
nov-23;Barajas;14;2,2;5,1;12,6
oct-23;Barajas;13,7;1;4,3;12,7
sept-23;Barajas;13,6;1,8;2,6;13
ago-23;Barajas;13,3;1,4;2,8;9,6
jul-23;Barajas;13,1;-0,7;3,8;8,1
jun-23;Barajas;13,2;2;4,3;9,5
may-23;Barajas;13;2,5;3,3;5,6
abr-23;Barajas;12,6;-0,2;1,3;3,2
mar-23;Barajas;12,7;1;1,3;4,7
feb-23;Barajas;12,5;0,5;0,9;7,4
ene-23;Barajas;12,5;-0,2;2,7;7,6
dic-22;Barajas;12,5;0,6;4,2;7,4
nov-22;Barajas;12,4;2,2;2,3;8,3
oct-22;Barajas;12,2;1,3;0,1;5,5
sept-22;Barajas;12;-1,3;-0,6;5,4
ago-22;Barajas;12,2;0;-1;7,2
jul-22;Barajas;12,1;0,6;-0,8;6,7
jun-22;Barajas;12,1;-1,6;-0,2;5,3
may-22;Barajas;12,3;0,2;5,1;6,6
abr-22;Barajas;12,2;1,3;5,6;7,9
mar-22;Barajas;12,1;3,6;3,9;6,7
feb-22;Barajas;11,7;0,7;1,8;3,3
ene-22;Barajas;11,6;-0,3;0,7;2,2
dic-21;Barajas;11,6;1,5;2,2;3,7
nov-21;Barajas;11,5;-0,4;1,2;1,3
oct-21;Barajas;11,5;1,1;1,2;0,7
sept-21;Barajas;11,4;0,5;-0,6;0
ago-21;Barajas;11,3;-0,4;-1,6;-4
jul-21;Barajas;11,4;-0,7;0,3;-5,1
jun-21;Barajas;11,5;-0,4;1,1;-2,7
may-21;Barajas;11,5;1,4;1,9;-0,7
abr-21;Barajas;11,4;0,2;0;-3,2
mar-21;Barajas;11,3;0,3;0,9;-4
feb-21;Barajas;11,3;-0,5;-0,2;-6,2
ene-21;Barajas;11,4;1,1;-0,8;-4,9
dic-20;Barajas;11,2;-0,9;-1,4;-4,6
nov-20;Barajas;11,3;-1;-4,1;-5
oct-20;Barajas;11,4;0,5;-4,6;-4,6
sept-20;Barajas;11,4;-3,6;-3,3;-5,6
ago-20;Barajas;11,8;-1,6;1,8;-0,4
jul-20;Barajas;12;1,9;2,3;0,3
jun-20;Barajas;11,8;1,5;-0,2;-1,4
may-20;Barajas;11,6;-1,1;-3,8;-1,1
abr-20;Barajas;11,7;-0,6;-1,8;1,1
mar-20;Barajas;11,8;-2,1;0,3;0,9
feb-20;Barajas;12,1;0,9;1;1,5
ene-20;Barajas;11,9;1,5;-0,4;1,1
dic-19;Barajas;11,8;-1,4;-2,4;1,4
nov-19;Barajas;11,9;-0,5;0,6;4,5
oct-19;Barajas;12;-0,5;0,3;6,2
sept-19;Barajas;12,1;1,7;1;7,1
ago-19;Barajas;11,9;-0,9;1,1;4,9
jul-19;Barajas;12;0,2;3,1;3,8
jun-19;Barajas;11,9;1,8;2,1;0,2
may-19;Barajas;11,7;1,1;-1,2;0,4
abr-19;Barajas;11,6;-0,8;-1,8;-0,5
mar-19;Barajas;11,7;-1,5;0,8;0,3
feb-19;Barajas;11,9;0,5;4;5
ene-19;Barajas;11,8;1,9;4,7;7,4
dic-18;Barajas;11,6;1,6;3,1;3,8
nov-18;Barajas;11,4;1,1;1;2
oct-18;Barajas;11,3;0,3;-2;3,1
sept-18;Barajas;11,3;-0,4;-5,5;3,8
ago-18;Barajas;11,3;-1,9;-3,2;1,8
jul-18;Barajas;11,5;-3,3;-1,2;3,4
jun-18;Barajas;11,9;2;2,2;8,8
may-18;Barajas;11,7;0,2;3,3;6,1
abr-18;Barajas;11,7;0;6;4,4
mar-18;Barajas;11,7;3,1;4,3;6,6
feb-18;Barajas;11,3;2,8;1,1;6,4
ene-18;Barajas;11;-1,5;0,5;6,6
dic-17;Barajas;11,2;-0,1;3;10,3
nov-17;Barajas;11,2;2,1;0,8;9,9
oct-17;Barajas;11;1;-1,7;7,9
sept-17;Barajas;10,8;-2,3;-0,9;9,9
ago-17;Barajas;11,1;-0,4;0,8;10,3
jul-17;Barajas;11,1;1,8;-0,3;8,9
jun-17;Barajas;10,9;-0,6;0,1;8,6
may-17;Barajas;11;-1,4;3,6;13,6
abr-17;Barajas;11,2;2,1;8,2;15,3
mar-17;Barajas;10,9;2,9;8;10,1
feb-17;Barajas;10,6;3;4,4;7,9
ene-17;Barajas;10,3;1,9;1,7;3,3
dic-16;Barajas;10,1;-0,5;2,7;3,9
