año,mes,distrito,total,hombres_total,mujeres_total,no_estudios_total,no_estudios_hombres,no_estudios_mujeres,estudios_primarios_incompletos_total,estudios_primarios_incompletos_hombres,estudios_primarios_incompletos_mujeres,estudios_primarios_total,estudios_primarios_hombres,estudios_primarios_mujeres,programa_fp_total,programa_fp_hombres,programa_fp_mujeres,educacion_general_total,educacion_general_hombres,educacion_general_mujeres,estudios_tecnico_profesionales_superiores_total,estudios_tecnico_profesionales_superiores_hombres,estudios_tecnico_profesionales_superiores_mujeres,estudios_universitarios_ciclo1_total,estudios_universitarios_ciclo1_hombres,estudios_universitarios_ciclo1_mujeres,estudios_universitarios_ciclo2y3_total,estudios_universitarios_ciclo2y3_hombres,estudios_universitarios_ciclo2y3_mujeres,otros_total,otros_hombres,otros_mujeres,otro_fp_total,otro_fp_hombres,otro_fp_mujeres
2013,Marzo,07. Chamberí,8.076,3.750,4.326,64,27,37,272,152,120,777,398,379,265,103,162,3.262,1.655,1.607,385,191,194,583,224,359,2.441,990,1.451,27,10,17,0,0,0
2013,Marzo,08. Fuencarral-El Pardo,14.215,6.751,7.464,28,14,14,734,384,350,2.229,1.232,997,827,363,464,5.834,2.881,2.953,866,430,436,932,327,605,2.711,1.102,1.609,54,18,36,0,0,0
2013,Marzo,09. Moncloa-Aravaca,6.505,3.128,3.377,33,17,16,328,192,136,598,322,276,301,137,164,2.740,1.366,1.374,352,177,175,479,202,277,1.652,706,946,22,9,13,0,0,0
2013,Marzo,10. Latina,21.084,10.886,10.198,201,119,82,2.251,1.364,887,2.628,1.521,1.107,1.545,687,858,10.215,5.432,4.783,1.371,674,697,1.051,381,670,1.804,700,1.104,18,8,10,0,0,0
2013,Marzo,11. Carabanchel,24.216,12.542,11.674,222,123,99,1.480,859,621,5.074,2.858,2.216,1.530,650,880,12.219,6.626,5.593,1.271,578,693,873,305,568,1.531,536,995,16,7,9,0,0,0
2013,Marzo,12. Usera,14.126,7.272,6.854,69,36,33,1.188,671,517,2.591,1.496,1.095,924,387,537,7.682,4.057,3.625,606,249,357,376,121,255,684,250,434,6,5,1,0,0,0
2013,Marzo,13. Puente de Vallecas,26.510,14.223,12.287,2.045,1.185,860,3.207,1.845,1.362,3.627,2.072,1.555,1.645,758,887,13.519,7.375,6.144,1.015,475,540,520,164,356,929,348,581,3,1,2,0,0,0
2013,Marzo,14. Moratalaz,7.691,3.814,3.877,275,151,124,524,277,247,658,354,304,477,209,268,3.989,2.061,1.928,525,268,257,426,160,266,809,331,478,8,3,5,0,0,0
2013,Marzo,15. Ciudad Lineal,16.626,8.366,8.260,217,128,89,431,249,182,3.398,1.936,1.462,890,395,495,7.605,3.951,3.654,926,430,496,971,368,603,2.157,899,1.258,31,10,21,0,0,0
2013,Marzo,16. Hortaleza,11.478,5.512,5.966,48,25,23,539,301,238,664,382,282,762,323,439,5.891,2.999,2.892,761,359,402,805,297,508,1.990,820,1.170,18,6,12,0,0,0
2013,Marzo,17. Villaverde,16.525,8.786,7.739,155,73,82,761,456,305,2.915,1.742,1.173,1.040,417,623,9.906,5.438,4.468,705,311,394,437,140,297,592,203,389,14,6,8,0,0,0
2013,Marzo,18. Villa de Vallecas,10.060,4.856,5.204,172,87,85,1.499,851,648,1.646,894,752,627,254,373,4.542,2.189,2.353,557,227,330,401,133,268,603,216,387,13,5,8,0,0,0
2013,Marzo,19. Vicálvaro,6.362,3.201,3.161,359,209,150,538,316,222,594,334,260,467,197,270,3.267,1.724,1.543,419,174,245,284,91,193,431,154,277,3,2,1,0,0,0
2013,Marzo,20. San Blas-Canillejas,13.151,6.685,6.466,160,99,61,436,255,181,2.043,1.148,895,864,368,496,7.175,3.833,3.342,773,350,423,636,230,406,1.046,395,651,18,7,11,0,0,0
2013,Marzo,21. Barajas,2.838,1.332,1.506,44,22,22,119,57,62,235,130,105,137,72,65,1.491,722,769,179,88,91,213,85,128,417,155,262,3,1,2,0,0,0
2013,Abril,Ciudad de Madrid,256.650,128.295,128.355,4.317,2.466,1.851,17.757,10.059,7.698,36.885,20.644,16.241,14.870,6.471,8.399,123.494,64.281,59.213,13.939,6.569,7.370,12.772,4.782,7.990,32.197,12.866,19.331,419,157,262,0,0,0
2013,Abril,01. Centro,12.113,6.397,5.716,92,54,38,450,294,156,1.919,1.182,737,518,257,261,5.318,2.961,2.357,595,306,289,676,268,408,2.521,1.064,1.457,24,11,13,0,0,0
2013,Abril,02. Arganzuela,11.134,5.253,5.881,58,31,27,349,192,157,1.584,918,666,561,247,314,4.644,2.291,2.353,735,357,378,887,344,543,2.260,851,1.409,56,22,34,0,0,0
2013,Abril,03. Retiro,6.619,3.068,3.551,25,20,5,104,55,49,708,359,349,289,149,140,2.701,1.303,1.398,394,194,200,541,242,299,1.835,740,1.095,22,6,16,0,0,0
2013,Abril,04. Salamanca,7.916,3.572,4.344,23,13,10,246,130,116,624,280,344,336,145,191,3.436,1.662,1.774,466,218,248,594,249,345,2.164,863,1.301,27,12,15,0,0,0
2013,Abril,05. Chamartín,7.308,3.310,3.998,16,6,10,293,145,148,325,148,177,282,128,154,3.066,1.432,1.634,414,210,204,591,254,337,2.291,982,1.309,30,5,25,0,0,0
2013,Abril,06. Tetuán,12.693,6.334,6.359,47,31,16,2.056,1.134,922,1.683,904,779,632,275,357,5.346,2.778,2.568,629,313,316,583,204,379,1.700,691,1.009,17,4,13,0,0,0
2013,Abril,07. Chamberí,7.932,3.641,4.291,62,27,35,274,145,129,788,391,397,253,98,155,3.187,1.601,1.586,376,190,186,576,218,358,2.388,957,1.431,28,14,14,0,0,0
2013,Abril,08. Fuencarral-El Pardo,14.192,6.731,7.461,25,13,12,743,399,344,2.266,1.237,1.029,821,338,483,5.779,2.857,2.922,879,434,445,943,335,608,2.686,1.098,1.588,50,20,30,0,0,0
2013,Abril,09. Moncloa-Aravaca,6.474,3.105,3.369,35,18,17,322,189,133,624,339,285,299,129,170,2.750,1.369,1.381,355,179,176,469,193,276,1.600,682,918,20,7,13,0,0,0
2013,Abril,10. Latina,20.918,10.751,10.167,202,125,77,2.155,1.295,860,2.645,1.527,1.118,1.563,708,855,10.180,5.368,4.812,1.389,680,709,1.020,367,653,1.748,675,1.073,16,6,10,0,0,0
2013,Abril,11. Carabanchel,24.169,12.461,11.708,213,126,87,1.518,865,653,5.167,2.873,2.294,1.494,631,863,12.159,6.558,5.601,1.239,568,671,858,291,567,1.507,542,965,14,7,7,0,0,0
2013,Abril,12. Usera,14.084,7.221,6.863,78,40,38,1.204,683,521,2.601,1.500,1.101,924,394,530,7.626,3.979,3.647,597,243,354,374,129,245,673,247,426,7,6,1,0,0,0
2013,Abril,13. Puente de Vallecas,26.573,14.230,12.343,2.041,1.203,838,3.201,1.817,1.384,3.656,2.063,1.593,1.621,748,873,13.621,7.427,6.194,1.002,467,535,526,169,357,900,335,565,5,1,4,0,0,0
2013,Abril,14. Moratalaz,7.706,3.798,3.908,267,145,122,509,261,248,715,388,327,471,208,263,3.965,2.034,1.931,533,275,258,433,160,273,801,324,477,12,3,9,0,0,0
2013,Abril,15. Ciudad Lineal,16.520,8.226,8.294,202,117,85,442,233,209,3.325,1.859,1.466,909,400,509,7.592,3.919,3.673,929,438,491,979,377,602,2.112,872,1.240,30,11,19,0,0,0
2013,Abril,16. Hortaleza,11.515,5.558,5.957,49,27,22,593,335,258,719,420,299,757,307,450,5.817,2.946,2.871,796,380,416,776,300,476,1.992,840,1.152,16,3,13,0,0,0
2013,Abril,17. Villaverde,16.447,8.729,7.718,151,71,80,746,452,294,2.969,1.767,1.202,1.056,426,630,9.832,5.375,4.457,685,298,387,432,141,291,564,194,370,12,5,7,0,0,0
2013,Abril,18. Villa de Vallecas,10.153,4.874,5.279,165,82,83,1.495,841,654,1.655,876,779,619,249,370,4.648,2.242,2.406,553,221,332,404,148,256,603,211,392,11,4,7,0,0,0
