año;mes;fecha;distrito;total;total_hombres;total_mujeres;total_16-19;total_16-19_hombres;total_16-19_mujeres;total_20-24;total_20-24_hombres;total_20-24_mujeres;total_25-29;total_25-29_hombres;total_25-29_mujeres;total_30-34;total_30-34_hombres;total_30-34_mujeres;total_35-39;total_35-39_hombres;total_35-39_mujeres;total_40-44;total_40-44_hombres;total_40-44_mujeres;total_45-49;total_45-49_hombres;total_45-49_mujeres;total_50-54;total_50-54_hombres;total_50-54_mujeres;total_55-59;total_55-59_hombres;total_55-59_mujeres;total_60omas;total_60omas_hombres;total_60omas_mujeres
2013;Abril;Abril 2013;17. Villaverde;16.447;8.729;7.718;377;205;172;1.385;715;670;1.587;804;783;2.048;1.105;943;2.371;1.241;1.130;2.436;1.274;1.162;2.266;1.244;1.022;1.881;1.046;835;1.384;745;639;712;350;362
2013;Abril;Abril 2013;18. Villa de Vallecas;10.153;4.874;5.279;216;121;95;847;443;404;1.045;498;547;1.480;617;863;1.725;838;887;1.405;704;701;1.137;569;568;979;461;518;805;377;428;514;246;268
2013;Abril;Abril 2013;19. Vicálvaro;6.328;3.155;3.173;156;91;65;457;230;227;530;280;250;762;373;389;1.010;453;557;1.011;492;519;969;489;480;679;342;337;515;276;239;239;129;110
2013;Abril;Abril 2013;20. San Blas-Canillejas;13.066;6.568;6.498;218;117;101;805;401;404;1.208;604;604;1.360;662;698;1.747;864;883;1.975;934;1.041;1.946;1.003;943;1.729;924;805;1.362;704;658;716;355;361
2013;Abril;Abril 2013;21. Barajas;2.790;1.313;1.477;25;14;11;136;61;75;275;133;142;345;177;168;437;185;252;384;166;218;355;168;187;328;167;161;267;121;146;238;121;117
2013;Mayo;Mayo 2013;Ciudad de Madrid;252.846;126.024;126.822;3.555;1.992;1.563;15.338;7.770;7.568;24.099;11.893;12.206;31.824;15.562;16.262;36.377;17.991;18.386;35.643;17.928;17.715;34.735;17.832;16.903;29.871;15.062;14.809;25.336;12.384;12.952;16.068;7.610;8.458
2013;Mayo;Mayo 2013;01. Centro;12.001;6.320;5.681;57;34;23;431;203;228;1.164;589;575;1.806;891;915;1.917;1.020;897;1.657;887;770;1.675;936;739;1.375;752;623;1.167;628;539;752;380;372
2013;Mayo;Mayo 2013;02. Arganzuela;11.041;5.188;5.853;87;52;35;562;267;295;1.084;523;561;1.521;703;818;1.550;731;819;1.480;729;751;1.483;685;798;1.277;618;659;1.219;520;699;778;360;418
2013;Mayo;Mayo 2013;03. Retiro;6.532;2.999;3.533;47;31;16;251;133;118;679;327;352;826;393;433;872;400;472;874;406;468;873;394;479;763;320;443;756;338;418;591;257;334
2013;Mayo;Mayo 2013;04. Salamanca;7.787;3.483;4.304;49;28;21;308;162;146;758;351;407;1.038;475;563;1.030;446;584;976;450;526;1.062;479;583;964;411;553;899;378;521;703;303;400
2013;Mayo;Mayo 2013;05. Chamartín;7.212;3.302;3.910;35;20;15;250;130;120;653;312;341;871;412;459;1.009;485;524;972;432;540;943;432;511;970;428;542;826;344;482;683;307;376
2013;Mayo;Mayo 2013;06. Tetuán;12.485;6.203;6.282;155;83;72;650;304;346;1.174;546;628;1.636;788;848;1.766;863;903;1.718;870;848;1.813;954;859;1.491;754;737;1.283;649;634;799;392;407
2013;Mayo;Mayo 2013;07. Chamberí;7.911;3.617;4.294;32;13;19;309;145;164;879;389;490;1.182;548;634;1.104;504;600;1.031;479;552;993;474;519;928;431;497;839;381;458;614;253;361
2013;Mayo;Mayo 2013;08. Fuencarral-El Pardo;14.029;6.644;7.385;120;63;57;738;354;384;1.408;700;708;1.761;812;949;2.155;973;1.182;1.917;943;974;1.754;853;901;1.514;700;814;1.536;732;804;1.126;514;612
2013;Mayo;Mayo 2013;09. Moncloa-Aravaca;6.319;3.012;3.307;66;37;29;309;142;167;648;298;350;818;407;411;780;356;424;847;397;450;842;407;435;805;411;394;717;328;389;487;229;258
2013;Mayo;Mayo 2013;10. Latina;20.558;10.563;9.995;296;157;139;1.345;692;653;1.993;1.003;990;2.568;1.342;1.226;3.024;1.613;1.411;2.991;1.530;1.461;2.832;1.492;1.340;2.292;1.203;1.089;1.976;948;1.028;1.241;583;658
2013;Mayo;Mayo 2013;11. Carabanchel;23.725;12.198;11.527;366;207;159;1.572;797;775;2.196;1.094;1.102;3.038;1.529;1.509;3.578;1.817;1.761;3.504;1.833;1.671;3.282;1.792;1.490;2.708;1.403;1.305;2.179;1.118;1.061;1.302;608;694
2013;Mayo;Mayo 2013;12. Usera;13.777;7.029;6.748;256;131;125;1.018;505;513;1.298;682;616;1.631;736;895;2.027;1.010;1.017;2.110;1.120;990;1.832;982;850;1.628;863;765;1.254;647;607;723;353;370
2013;Mayo;Mayo 2013;13. Puente de Vallecas;26.061;13.915;12.146;588;352;236;2.083;1.098;985;2.555;1.302;1.253;3.242;1.678;1.564;3.549;1.937;1.612;3.519;1.925;1.594;3.600;1.977;1.623;3.201;1.722;1.479;2.454;1.297;1.157;1.270;627;643
2013;Mayo;Mayo 2013;14. Moratalaz;7.614;3.749;3.865;140;82;58;533;281;252;731;377;354;819;407;412;990;470;520;1.043;524;519;1.155;563;592;935;445;490;785;362;423;483;238;245
2013;Mayo;Mayo 2013;15. Ciudad Lineal;16.221;8.089;8.132;148;88;60;785;397;388;1.414;688;726;1.939;992;947;2.200;1.109;1.091;2.280;1.161;1.119;2.356;1.222;1.134;2.029;980;1.049;1.867;895;972;1.203;557;646
2013;Mayo;Mayo 2013;16. Hortaleza;11.381;5.450;5.931;149;90;59;705;385;320;1.035;505;530;1.311;615;696;1.614;734;880;1.654;767;887;1.511;697;814;1.368;668;700;1.175;559;616;859;430;429
2013;Mayo;Mayo 2013;17. Villaverde;16.183;8.538;7.645;371;199;172;1.305;658;647;1.517;757;760;1.969;1.045;924;2.347;1.210;1.137;2.384;1.256;1.128;2.287;1.261;1.026;1.896;1.055;841;1.398;749;649;709;348;361
2013;Mayo;Mayo 2013;18. Villa de Vallecas;9.968;4.779;5.189;210;114;96;783;409;374;1.004;490;514;1.428;611;817;1.686;808;878;1.376;668;708;1.159;577;582;978;460;518;829;397;432;515;245;270
