Paro registrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado en la Ciudad de Madrid (desde mayo de 2005);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.1. Paro registrado por Distrito, Grupo de edad y Sexo por Mes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Total;Total;Total;16 a 19 años;16 a 19 años;16 a 19 años;20 a 24 años;20 a 24 años;20 a 24 años;25 a 29 años;25 a 29 años;25 a 29 años;30 a 34 años;30 a 34 años;30 a 34 años;35 a 39 años;35 a 39 años;35 a 39 años;40 a 44 años;40 a 44 años;40 a 44 años;45 a 49 años;45 a 49 años;45 a 49 años;50 a 54 años;50 a 54 años;50 a 54 años;55 a 59 años;55 a 59 años;55 a 59 años;60 y más años;60 y más años;60 y más años
;;;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
2023;Abril;20. San Blas-Canillejas;7.968;3.314;4.654;163;99;64;410;216;194;576;245;331;704;289;415;694;271;423;684;264;420;773;283;490;1.031;403;628;1.457;602;855;1.476;642;834
2023;Abril;21. Barajas;1.560;628;932;18;10;8;66;42;24;97;49;48;111;36;75;129;40;89;149;52;97;211;77;134;197;81;116;295;121;174;287;120;167
2023;Mayo;Ciudad de Madrid;144.220;60.861;83.359;2.258;1.238;1.020;6.613;3.319;3.294;11.387;5.056;6.331;13.091;5.550;7.541;13.460;5.367;8.093;14.301;5.672;8.629;16.421;6.795;9.626;18.968;7.914;11.054;23.730;9.958;13.772;23.991;9.992;13.999
2023;Mayo;01. Centro;6.298;3.216;3.082;39;20;19;167;79;88;460;207;253;636;315;321;660;319;341;700;367;333;772;397;375;883;464;419;1.008;539;469;973;509;464
2023;Mayo;02. Arganzuela;5.469;2.338;3.131;31;19;12;181;94;87;447;205;242;550;259;291;521;217;304;526;196;330;599;247;352;674;286;388;914;372;542;1.026;443;583
2023;Mayo;03. Retiro;3.235;1.314;1.921;19;14;5;69;37;32;255;116;139;281;134;147;278;121;157;293;124;169;349;133;216;443;162;281;629;230;399;619;243;376
2023;Mayo;04. Salamanca;3.759;1.579;2.180;30;20;10;98;52;46;306;135;171;337;165;172;302;135;167;308;116;192;412;171;241;480;198;282;727;290;437;759;297;462
2023;Mayo;05. Chamartín;3.738;1.563;2.175;22;9;13;71;36;35;241;108;133;320;142;178;298;130;168;325;121;204;406;172;234;508;214;294;746;297;449;801;334;467
2023;Mayo;06. Tetuán;6.839;2.903;3.936;91;50;41;258;128;130;538;246;292;666;281;385;666;257;409;645;260;385;758;306;452;931;404;527;1.129;488;641;1.157;483;674
2023;Mayo;07. Chamberí;3.773;1.585;2.188;13;4;9;104;55;49;353;158;195;364;167;197;325;147;178;365;147;218;388;166;222;490;185;305;650;259;391;721;297;424
2023;Mayo;08. Fuencarral-El Pardo;7.536;3.093;4.443;80;46;34;260;131;129;555;246;309;627;252;375;652;237;415;757;295;462;919;386;533;1.059;441;618;1.271;560;711;1.356;499;857
2023;Mayo;09. Moncloa-Aravaca;3.450;1.507;1.943;34;23;11;106;60;46;247;104;143;271;122;149;298;115;183;316;130;186;380;164;216;466;202;264;684;300;384;648;287;361
2023;Mayo;10. Latina;11.486;4.958;6.528;199;98;101;526;253;273;893;399;494;966;433;533;1.062;460;602;1.221;508;713;1.270;567;703;1.575;663;912;1.968;812;1.156;1.806;765;1.041
2023;Mayo;11. Carabanchel;14.091;5.922;8.169;274;169;105;743;342;401;1.171;504;667;1.300;534;766;1.352;499;853;1.521;597;924;1.693;719;974;1.887;808;1.079;2.059;866;1.193;2.091;884;1.207
2023;Mayo;12. Usera;8.498;3.623;4.875;187;100;87;613;303;310;722;321;401;776;328;448;821;363;458;863;324;539;968;398;570;1.138;494;644;1.219;513;706;1.191;479;712
2023;Mayo;13. Puente de Vallecas;15.892;6.819;9.073;352;184;168;967;473;494;1.380;617;763;1.530;622;908;1.604;634;970;1.562;615;947;1.741;755;986;1.872;833;1.039;2.460;1.052;1.408;2.424;1.034;1.390
2023;Mayo;14. Moratalaz;4.436;1.837;2.599;86;48;38;213;115;98;367;166;201;384;164;220;373;156;217;410;175;235;446;165;281;586;226;360;787;319;468;784;303;481
2023;Mayo;15. Ciudad Lineal;8.965;3.801;5.164;106;62;44;319;164;155;657;305;352;763;345;418;770;286;484;818;330;488;974;419;555;1.236;498;738;1.638;704;934;1.684;688;996
2023;Mayo;16. Hortaleza;6.673;2.630;4.043;71;39;32;229;121;108;415;199;216;529;215;314;557;193;364;647;225;422;830;297;533;924;364;560;1.190;463;727;1.281;514;767
2023;Mayo;17. Villaverde;9.796;4.024;5.772;214;123;91;579;284;295;812;330;482;952;353;599;995;361;634;1.077;444;633;1.125;430;695;1.237;505;732;1.395;586;809;1.410;608;802
2023;Mayo;18. Villa de Vallecas;6.524;2.502;4.022;134;66;68;407;209;198;539;225;314;633;238;395;690;251;439;742;249;493;882;341;541;789;269;520;834;322;512;874;332;542
2023;Mayo;19. Vicálvaro;4.343;1.752;2.591;105;51;54;268;126;142;383;167;216;417;160;257;408;164;244;382;150;232;539;206;333;586;214;372;665;277;388;590;237;353
2023;Mayo;20. San Blas-Canillejas;7.872;3.275;4.597;154;83;71;372;214;158;554;252;302;671;279;392;707;283;424;667;254;413;764;279;485;1.013;400;613;1.466;594;872;1.504;637;867
2023;Mayo;21. Barajas;1.547;620;927;17;10;7;63;43;20;92;46;46;118;42;76;121;39;82;156;45;111;206;77;129;191;84;107;291;115;176;292;119;173
2023;Junio;Ciudad de Madrid;142.896;60.066;82.830;2.389;1.309;1.080;6.497;3.282;3.215;11.013;4.861;6.152;12.902;5.445;7.457;13.360;5.343;8.017;14.204;5.606;8.598;16.310;6.686;9.624;18.652;7.735;10.917;23.544;9.844;13.700;24.025;9.955;14.070
2023;Junio;01. Centro;6.300;3.223;3.077;50;29;21;161;73;88;453;204;249;652;331;321;651;317;334;696;364;332;753;377;376;891;464;427;1.004;543;461;989;521;468
2023;Junio;02. Arganzuela;5.453;2.336;3.117;35;23;12;184;102;82;440;191;249;567;272;295;535;223;312;517;199;318;587;236;351;666;284;382;901;366;535;1.021;440;581
2023;Junio;03. Retiro;3.212;1.297;1.915;18;13;5;79;39;40;252;121;131;285;132;153;274;114;160;297;118;179;342;128;214;417;158;259;630;233;397;618;241;377
2023;Junio;04. Salamanca;3.765;1.564;2.201;30;18;12;96;47;49;282;126;156;348;157;191;329;156;173;319;122;197;417;170;247;465;188;277;722;283;439;757;297;460
2023;Junio;05. Chamartín;3.726;1.552;2.174;21;12;9;77;42;35;250;113;137;306;135;171;307;131;176;322;122;200;388;174;214;490;198;292;752;297;455;813;328;485
2023;Junio;06. Tetuán;6.750;2.828;3.922;82;51;31;244;121;123;540;227;313;663;267;396;657;243;414;644;253;391;750;300;450;888;373;515;1.125;500;625;1.157;493;664
2023;Junio;07. Chamberí;3.721;1.565;2.156;17;5;12;108;65;43;325;144;181;345;153;192;327;154;173;350;142;208;395;167;228;483;183;300;654;256;398;717;296;421
2023;Junio;08. Fuencarral-El Pardo;7.528;3.073;4.455;87;49;38;260;133;127;527;234;293;628;257;371;628;240;388;761;279;482;911;381;530;1.075;452;623;1.290;549;741;1.361;499;862
2023;Junio;09. Moncloa-Aravaca;3.456;1.521;1.935;37;27;10;93;54;39;255;112;143;289;135;154;296;118;178;311;125;186;376;165;211;458;195;263;670;296;374;671;294;377
2023;Junio;10. Latina;11.364;4.864;6.500;209;106;103;536;257;279;838;382;456;932;389;543;1.059;455;604;1.198;509;689;1.250;530;720;1.556;647;909;1.954;819;1.135;1.832;770;1.062
2023;Junio;11. Carabanchel;13.944;5.808;8.136;278;157;121;757;356;401;1.143;479;664;1.262;521;741;1.346;507;839;1.511;589;922;1.711;717;994;1.842;771;1.071;2.032;851;1.181;2.062;860;1.202
2023;Junio;12. Usera;8.396;3.579;4.817;204;112;92;584;286;298;691;305;386;750;332;418;802;346;456;879;330;549;971;404;567;1.110;483;627;1.208;500;708;1.197;481;716
