fecha,distrito,precio_m2,variacion_mensual,variacion_trimestral,variacion_anual
03-2013,ARGANZUELA,"11,4","0,3","1,7","-3,6"
02-2013,ARGANZUELA,"11,3","0,7","-0,4","-4,1"
01-2013,ARGANZUELA,"11,3","0,7","-2,2","-5,2"
12-2012,ARGANZUELA,"11,2","-1,8","-3,1","-8,2"
11-2012,ARGANZUELA,"11,4","-1,1",-1,"-5,5"
10-2012,ARGANZUELA,"11,5","-0,3","-0,3","-2,7"
09-2012,ARGANZUELA,"11,5","0,3","-1,1","-3,1"
08-2012,ARGANZUELA,"11,5","-0,3","-1,1","-4,2"
07-2012,ARGANZUELA,"11,5","-1,1","-1,5","-3,8"
06-2012,ARGANZUELA,"11,7","0,3",-1,"-3,3"
05-2012,ARGANZUELA,"11,6","-0,8","-1,6","-3,7"
04-2012,ARGANZUELA,"11,7","-0,6","-1,3","-1,7"
03-2012,ARGANZUELA,"11,8","-0,3","-3,2",1
02-2012,ARGANZUELA,"11,8","-0,5","-1,9","-0,8"
01-2012,ARGANZUELA,"11,9","-2,5","0,4","-3,1"
12-2011,ARGANZUELA,"12,2","1,1","2,3",-2
11-2011,ARGANZUELA,"12,1","1,9","0,4","-2,5"
10-2011,ARGANZUELA,"11,8","-0,6","-1,4","-0,6"
09-2011,ARGANZUELA,"11,9","-0,8","-1,4","0,7"
08-2011,ARGANZUELA,12,0,"-0,6","1,6"
07-2011,ARGANZUELA,12,"-0,6","0,6","0,4"
06-2011,ARGANZUELA,"12,1",0,"3,4",0
05-2011,ARGANZUELA,"12,1","1,2","1,3","0,9"
04-2011,ARGANZUELA,"11,9","2,1","-2,7","-1,2"
03-2011,ARGANZUELA,"11,7","-2,1","-6,1","-3,3"
02-2011,ARGANZUELA,"11,9","-2,8","-3,6","-4,7"
01-2011,ARGANZUELA,"12,3","-1,4",3,"-1,9"
12-2010,ARGANZUELA,"12,4","0,5","5,2","1,7"
11-2010,ARGANZUELA,"12,4","3,9","4,7","1,2"
10-2010,ARGANZUELA,"11,9","0,7","-0,4",
09-2010,ARGANZUELA,"11,8",0,"-2,1",
08-2010,ARGANZUELA,"11,8","-1,2","-1,2",
07-2010,ARGANZUELA,12,"-0,9","-0,9",
06-2010,ARGANZUELA,"12,1","0,9",0,
05-2010,ARGANZUELA,12,"-0,9","-4,3",
04-2010,ARGANZUELA,"12,1",0,"-3,4",
03-2010,ARGANZUELA,"12,1","-3,4","-1,3",
02-2010,ARGANZUELA,"12,5",0,"2,3",
01-2010,ARGANZUELA,"12,5","2,3",,
