año,mes,distrito,total,hombres_total,mujeres_total,16_19_total,16_19_hombres,16_19_mujeres,20_24_total,20_24_hombres,20_24_mujeres,25_29_total,25_29_hombres,25_29_mujeres,30_34_total,30_34_hombres,30_34_mujeres,35_39_total,35_39_hombres,35_39_mujeres,40_44_total,40_44_hombres,40_44_mujeres,45_49_total,45_49_hombres,45_49_mujeres,50_54_total,50_54_hombres,50_54_mujeres,55_59_total,55_59_hombres,55_59_mujeres,60_mas_total,60_mas_hombres,60_mas_mujeres
2013,Abril,SALAMANCA,7916,3572,4344,46,30,16,335,174,161,808,379,429,1044,479,565,1035,449,586,1008,478,530,1061,478,583,987,422,565,875,373,502,717,310,407
2013,Abril,CHAMARTÍN,7308,3310,3998,33,19,14,267,127,140,687,324,363,893,413,480,1023,485,538,1009,448,561,961,436,525,950,421,529,806,338,468,679,299,380
2013,Abril,TETUÁN,12693,6334,6359,145,82,63,665,320,345,1227,571,656,1699,821,878,1812,889,923,1754,901,853,1791,949,842,1505,755,750,1290,647,643,805,399,406
2013,Abril,CHAMBERÍ,7932,3641,4291,41,21,20,333,148,185,869,389,480,1159,544,615,1122,514,608,1040,484,556,978,469,509,922,429,493,834,378,456,634,265,369
2013,Abril,FUENCARRAL - EL PARDO,14192,6731,7461,138,67,71,764,377,387,1439,720,719,1846,869,977,2187,981,1206,1956,959,997,1749,854,895,1516,689,827,1513,722,791,1084,493,591
2013,Abril,MONCLOA - ARAVACA,6474,3105,3369,71,39,32,338,156,182,657,320,337,867,428,439,824,384,440,872,407,465,837,409,428,806,405,401,717,326,391,485,231,254
2013,Abril,LATINA,20918,10751,10167,281,151,130,1439,737,702,2068,1051,1017,2675,1410,1265,3053,1618,1435,3047,1566,1481,2869,1503,1366,2281,1189,1092,1961,943,1018,1244,583,661
2013,Abril,CARABANCHEL,24169,12461,11708,375,204,171,1607,815,792,2272,1159,1113,3201,1602,1599,3650,1885,1765,3589,1894,1695,3304,1806,1498,2701,1390,1311,2144,1090,1054,1326,616,710
2013,Abril,USERA,14084,7221,6863,283,142,141,1024,508,516,1362,695,667,1690,807,883,2121,1052,1069,2127,1123,1004,1828,999,829,1646,883,763,1270,661,609,733,351,382
2013,Abril,PUENTE DE VALLECAS,26573,14230,12343,625,363,262,2149,1121,1028,2724,1406,1318,3367,1777,1590,3586,1961,1625,3593,1961,1632,3638,2008,1630,3188,1710,1478,2451,1299,1152,1252,624,628
