año,mes,distrito,total,hombres_total,mujeres_total,no_estudios_total,no_estudios_hombres,no_estudios_mujeres,estudios_primarios_incompletos_total,estudios_primarios_incompletos_hombres,estudios_primarios_incompletos_mujeres,estudios_primarios_total,estudios_primarios_hombres,estudios_primarios_mujeres,programa_fp_total,programa_fp_hombres,programa_fp_mujeres,educacion_general_total,educacion_general_hombres,educacion_general_mujeres,estudios_tecnico_profesionales_superiores_total,estudios_tecnico_profesionales_superiores_hombres,estudios_tecnico_profesionales_superiores_mujeres,estudios_universitarios_ciclo1_total,estudios_universitarios_ciclo1_hombres,estudios_universitarios_ciclo1_mujeres,estudios_universitarios_ciclo2y3_total,estudios_universitarios_ciclo2y3_hombres,estudios_universitarios_ciclo2y3_mujeres,otros_total,otros_hombres,otros_mujeres,otro_fp_total,otro_fp_hombres,otro_fp_mujeres,fecha
2013,Abril,CENTRO,12113,6397,5716,92,54,38,450,294,156,1919,1182,737,518,257,261,5318,2961,2357,595,306,289,676,268,408,2521,1064,1457,24,11,13,0,0,0,Abril 2013
2013,Abril,ARGANZUELA,11134,5253,5881,58,31,27,349,192,157,1584,918,666,561,247,314,4644,2291,2353,735,357,378,887,344,543,2260,851,1409,56,22,34,0,0,0,Abril 2013
2013,Abril,RETIRO,6619,3068,3551,25,20,5,104,55,49,708,359,349,289,149,140,2701,1303,1398,394,194,200,541,242,299,1835,740,1095,22,6,16,0,0,0,Abril 2013
2013,Abril,SALAMANCA,7916,3572,4344,23,13,10,246,130,116,624,280,344,336,145,191,3436,1662,1774,466,218,248,594,249,345,2164,863,1301,27,12,15,0,0,0,Abril 2013
2013,Abril,CHAMARTÍN,7308,3310,3998,16,6,10,293,145,148,325,148,177,282,128,154,3066,1432,1634,414,210,204,591,254,337,2291,982,1309,30,5,25,0,0,0,Abril 2013
2013,Abril,TETUÁN,12693,6334,6359,47,31,16,2056,1134,922,1683,904,779,632,275,357,5346,2778,2568,629,313,316,583,204,379,1700,691,1009,17,4,13,0,0,0,Abril 2013
2013,Abril,CHAMBERÍ,7932,3641,4291,62,27,35,274,145,129,788,391,397,253,98,155,3187,1601,1586,376,190,186,576,218,358,2388,957,1431,28,14,14,0,0,0,Abril 2013
2013,Abril,FUENCARRAL - EL PARDO,14192,6731,7461,25,13,12,743,399,344,2266,1237,1029,821,338,483,5779,2857,2922,879,434,445,943,335,608,2686,1098,1588,50,20,30,0,0,0,Abril 2013
2013,Abril,MONCLOA - ARAVACA,6474,3105,3369,35,18,17,322,189,133,624,339,285,299,129,170,2750,1369,1381,355,179,176,469,193,276,1600,682,918,20,7,13,0,0,0,Abril 2013
2013,Abril,LATINA,20918,10751,10167,202,125,77,2155,1295,860,2645,1527,1118,1563,708,855,10180,5368,4812,1389,680,709,1020,367,653,1748,675,1073,16,6,10,0,0,0,Abril 2013
2013,Abril,CARABANCHEL,24169,12461,11708,213,126,87,1518,865,653,5167,2873,2294,1494,631,863,12159,6558,5601,1239,568,671,858,291,567,1507,542,965,14,7,7,0,0,0,Abril 2013
2013,Abril,USERA,14084,7221,6863,78,40,38,1204,683,521,2601,1500,1101,924,394,530,7626,3979,3647,597,243,354,374,129,245,673,247,426,7,6,1,0,0,0,Abril 2013
2013,Abril,PUENTE DE VALLECAS,26573,14230,12343,2041,1203,838,3201,1817,1384,3656,2063,1593,1621,748,873,13621,7427,6194,1002,467,535,526,169,357,900,335,565,5,1,4,0,0,0,Abril 2013
2013,Abril,MORATALAZ,7706,3798,3908,267,145,122,509,261,248,715,388,327,471,208,263,3965,2034,1931,533,275,258,433,160,273,801,324,477,12,3,9,0,0,0,Abril 2013
2013,Abril,CIUDAD LINEAL,16520,8226,8294,202,117,85,442,233,209,3325,1859,1466,909,400,509,7592,3919,3673,929,438,491,979,377,602,2112,872,1240,30,11,19,0,0,0,Abril 2013
2013,Abril,HORTALEZA,11515,5558,5957,49,27,22,593,335,258,719,420,299,757,307,450,5817,2946,2871,796,380,416,776,300,476,1992,840,1152,16,3,13,0,0,0,Abril 2013
2013,Abril,VILLAVERDE,16447,8729,7718,151,71,80,746,452,294,2969,1767,1202,1056,426,630,9832,5375,4457,685,298,387,432,141,291,564,194,370,12,5,7,0,0,0,Abril 2013
2013,Abril,VILLA DE VALLECAS,10153,4874,5279,165,82,83,1495,841,654,1655,876,779,619,249,370,4648,2242,2406,553,221,332,404,148,256,603,211,392,11,4,7,0,0,0,Abril 2013
2013,Abril,VICÁLVARO,6328,3155,3173,365,205,160,522,301,221,639,353,286,473,205,268,3214,1683,1531,418,170,248,272,89,183,422,147,275,3,2,1,0,0,0,Abril 2013
2013,Abril,SAN BLAS-CANILLEJAS,13066,6568,6498,162,94,68,419,235,184,2049,1146,903,861,360,501,7130,3769,3361,769,336,433,624,227,397,1036,395,641,16,6,10,0,0,0,Abril 2013
2013,Abril,BARAJAS,2790,1313,1477,39,18,21,116,58,58,224,114,110,131,69,62,1483,727,756,186,92,94,214,77,137,394,156,238,3,2,1,0,0,0,Abril 2013
2013,Mayo,MADRID,252846,126024,126822,4289,2423,1866,17178,9690,7488,36809,20513,16296,14597,6313,8284,121154,62888,58266,13827,6516,7311,12506,4705,7801,31876,12775,19101,610,201,409,0,0,0,Mayo 2013
2013,Mayo,CENTRO,12001,6320,5681,91,54,37,438,279,159,1935,1183,752,496,245,251,5274,2920,2354,602,307,295,646,265,381,2476,1046,1430,43,21,22,0,0,0,Mayo 2013
2013,Mayo,ARGANZUELA,11041,5188,5853,54,28,26,338,172,166,1566,904,662,560,249,311,4593,2274,2319,730,356,374,877,336,541,2244,843,1401,79,26,53,0,0,0,Mayo 2013
2013,Mayo,RETIRO,6532,2999,3533,23,17,6,107,55,52,701,355,346,282,139,143,2662,1273,1389,373,184,189,518,230,288,1832,738,1094,34,8,26,0,0,0,Mayo 2013
2013,Mayo,SALAMANCA,7787,3483,4304,24,12,12,223,117,106,665,309,356,322,134,188,3346,1602,1744,426,192,234,591,241,350,2147,859,1288,43,17,26,0,0,0,Mayo 2013
2013,Mayo,CHAMARTÍN,7212,3302,3910,17,7,10,253,127,126,373,180,193,274,120,154,3023,1435,1588,402,202,200,565,244,321,2263,974,1289,42,13,29,0,0,0,Mayo 2013
2013,Mayo,TETUÁN,12485,6203,6282,46,29,17,1983,1083,900,1728,917,811,616,272,344,5264,2731,2533,598,302,296,578,196,382,1645,668,977,27,5,22,0,0,0,Mayo 2013
2013,Mayo,CHAMBERÍ,7911,3617,4294,73,32,41,270,148,122,809,404,405,255,99,156,3068,1545,1523,399,188,211,572,214,358,2399,968,1431,66,19,47,0,0,0,Mayo 2013
2013,Mayo,FUENCARRAL - EL PARDO,14029,6644,7385,23,10,13,705,382,323,2273,1232,1041,822,349,473,5703,2811,2892,862,426,436,923,324,599,2647,1087,1560,71,23,48,0,0,0,Mayo 2013
2013,Mayo,MONCLOA - ARAVACA,6319,3012,3307,31,15,16,317,179,138,591,309,282,301,128,173,2677,1333,1344,344,172,172,473,201,272,1552,662,890,33,13,20,0,0,0,Mayo 2013
2013,Mayo,LATINA,20558,10563,9995,206,123,83,2095,1265,830,2625,1508,1117,1533,683,850,9889,5233,4656,1394,683,711,1019,374,645,1769,685,1084,28,9,19,0,0,0,Mayo 2013
2013,Mayo,CARABANCHEL,23725,12198,11527,221,129,92,1497,832,665,5115,2845,2270,1457,617,840,11850,6369,5481,1234,572,662,851,295,556,1481,533,948,19,6,13,0,0,0,Mayo 2013
2013,Mayo,USERA,13777,7029,6748,74,37,37,1170,660,510,2564,1475,1089,894,375,519,7451,3875,3576,602,232,370,352,123,229,661,246,415,9,6,3,0,0,0,Mayo 2013
2013,Mayo,PUENTE DE VALLECAS,26061,13915,12146,2031,1205,826,3090,1760,1330,3571,2002,1569,1578,731,847,13381,7248,6133,1011,474,537,508,158,350,887,336,551,4,1,3,0,0,0,Mayo 2013
2013,Mayo,MORATALAZ,7614,3749,3865,254,130,124,490,248,242,764,408,356,464,201,263,3883,2008,1875,526,271,255,419,158,261,802,321,481,12,4,8,0,0,0,Mayo 2013
2013,Mayo,CIUDAD LINEAL,16221,8089,8132,199,114,85,415,224,191,3271,1843,1428,898,392,506,7421,3803,3618,901,440,461,963,372,591,2121,892,1229,32,9,23,0,0,0,Mayo 2013
2013,Mayo,HORTALEZA,11381,5450,5931,56,29,27,565,315,250,755,431,324,748,301,447,5753,2897,2856,809,382,427,753,291,462,1922,801,1121,20,3,17,0,0,0,Mayo 2013
2013,Mayo,VILLAVERDE,16183,8538,7645,148,63,85,726,440,286,2972,1751,1221,1042,416,626,9616,5217,4399,699,312,387,413,142,271,553,192,361,14,5,9,0,0,0,Mayo 2013
2013,Mayo,VILLA DE VALLECAS,9968,4779,5189,173,86,87,1433,795,638,1609,839,770,603,236,367,4606,2247,2359,548,216,332,388,138,250,596,217,379,12,5,7,0,0,0,Mayo 2013
2013,Mayo,VICÁLVARO,6258,3122,3136,340,189,151,530,318,212,663,362,301,450,192,258,3174,1657,1517,406,170,236,270,87,183,423,146,277,2,1,1,0,0,0,Mayo 2013
2013,Mayo,SAN BLAS-CANILLEJAS,12976,6506,6470,167,95,72,419,237,182,2024,1131,893,861,360,501,7054,3704,3350,774,342,432,613,232,381,1050,400,650,14,5,9,0,0,0,Mayo 2013
2013,Mayo,BARAJAS,2807,1318,1489,38,19,19,114,54,60,235,125,110,141,74,67,1466,706,760,187,93,94,214,84,130,406,161,245,6,2,4,0,0,0,Mayo 2013
2013,Junio,MADRID,247525,122696,124829,4269,2389,1880,16762,9349,7413,36550,20172,16378,14243,6136,8107,118411,61127,57284,13430,6310,7120,12048,4532,7516,31264,12501,18763,548,180,368,0,0,0,Junio 2013
2013,Junio,CENTRO,11665,6134,5531,90,50,40,433,266,167,1876,1122,754,487,236,251,5130,2869,2261,580,301,279,610,263,347,2417,1007,1410,42,20,22,0,0,0,Junio 2013
2013,Junio,ARGANZUELA,10789,5087,5702,56,33,23,339,168,171,1574,905,669,548,242,306,4484,2231,2253,704,334,370,833,321,512,2182,832,1350,69,21,48,0,0,0,Junio 2013
2013,Junio,RETIRO,6332,2879,3453,21,16,5,111,59,52,669,321,348,273,138,135,2566,1214,1352,360,174,186,491,222,269,1813,727,1086,28,8,20,0,0,0,Junio 2013
2013,Junio,SALAMANCA,7553,3354,4199,23,11,12,205,101,104,712,340,372,308,127,181,3232,1523,1709,417,190,227,558,230,328,2052,817,1235,46,15,31,0,0,0,Junio 2013
