"fecha","distrito","poblacion"
"03-2014","HORTALEZA",173576
"03-2014","RETIRO",118987
"03-2014","CHAMARTÍN",142947
"03-2014","MADRID",3171426
"04-2014","ARGANZUELA",151473
"04-2014","MORATALAZ",95984
"04-2014","MONCLOA - ARAVACA",115826
"04-2014","FUENCARRAL - EL PARDO",233816
"04-2014","SALAMANCA",143504
"04-2014","SAN BLAS-CANILLEJAS",153440
"04-2014","CIUDAD LINEAL",214064
"04-2014","CENTRO",133329
"04-2014","VICÁLVARO",69772
"04-2014","VILLA DE VALLECAS",99218
"04-2014","TETUÁN",152375
"04-2014","CHAMBERÍ",138533
"04-2014","PUENTE DE VALLECAS",228375
"04-2014","LATINA",237398
"04-2014","VILLAVERDE",142190
"04-2014","BARAJAS",45744
"04-2014","CARABANCHEL",242706
"04-2014","USERA",133485
"04-2014","HORTALEZA",173672
"04-2014","RETIRO",118862
"04-2014","CHAMARTÍN",142773
"04-2014","MADRID",3166539
"05-2014","ARGANZUELA",151272
"05-2014","MORATALAZ",95785
"05-2014","MONCLOA - ARAVACA",115861
"05-2014","FUENCARRAL - EL PARDO",233726
"05-2014","SALAMANCA",143260
"05-2014","SAN BLAS-CANILLEJAS",153363
"05-2014","CIUDAD LINEAL",213956
"05-2014","CENTRO",132684
"05-2014","VICÁLVARO",69789
"05-2014","VILLA DE VALLECAS",99275
"05-2014","TETUÁN",152094
"05-2014","CHAMBERÍ",138370
"05-2014","PUENTE DE VALLECAS",228226
"05-2014","LATINA",237066
"05-2014","VILLAVERDE",142090
"05-2014","BARAJAS",45776
"05-2014","CARABANCHEL",242571
"05-2014","USERA",133451
"05-2014","HORTALEZA",173822
"05-2014","RETIRO",118799
"05-2014","CHAMARTÍN",142463
"05-2014","MADRID",3163699
"06-2014","ARGANZUELA",151146
"06-2014","MORATALAZ",95728
"06-2014","MONCLOA - ARAVACA",115719
"06-2014","FUENCARRAL - EL PARDO",233744
"06-2014","SALAMANCA",143093
"06-2014","SAN BLAS-CANILLEJAS",153240
"06-2014","CIUDAD LINEAL",213842
"06-2014","CENTRO",132356
"06-2014","VICÁLVARO",69741
"06-2014","VILLA DE VALLECAS",99346
"06-2014","TETUÁN",151921
"06-2014","CHAMBERÍ",138147
"06-2014","PUENTE DE VALLECAS",227939
"06-2014","LATINA",236798
"06-2014","VILLAVERDE",142052
"06-2014","BARAJAS",45758
"06-2014","CARABANCHEL",242366
"06-2014","USERA",133367
"06-2014","HORTALEZA",173866
"06-2014","RETIRO",118685
"06-2014","CHAMARTÍN",142290
"06-2014","MADRID",3161144
"07-2014","ARGANZUELA",150786
"07-2014","MORATALAZ",95560
"07-2014","MONCLOA - ARAVACA",115778
"07-2014","FUENCARRAL - EL PARDO",233541
"07-2014","SALAMANCA",142746
"07-2014","SAN BLAS-CANILLEJAS",153027
"07-2014","CIUDAD LINEAL",213381
"07-2014","CENTRO",131841
"07-2014","VICÁLVARO",69580
"07-2014","VILLA DE VALLECAS",99306
"07-2014","TETUÁN",151470
"07-2014","CHAMBERÍ",137792
"07-2014","PUENTE DE VALLECAS",227418
"07-2014","LATINA",236126
"07-2014","VILLAVERDE",141687
"07-2014","BARAJAS",45727
"07-2014","CARABANCHEL",241729
"07-2014","USERA",133018
"07-2014","HORTALEZA",173771
"07-2014","RETIRO",118415
"07-2014","CHAMARTÍN",141908
"07-2014","MADRID",3154607
"08-2014","ARGANZUELA",150770
"08-2014","MORATALAZ",95549
"08-2014","MONCLOA - ARAVACA",115806
"08-2014","FUENCARRAL - EL PARDO",233551
"08-2014","SALAMANCA",142749
"08-2014","SAN BLAS-CANILLEJAS",153028
"08-2014","CIUDAD LINEAL",213330
"08-2014","CENTRO",131939
"08-2014","VICÁLVARO",69659
"08-2014","VILLA DE VALLECAS",99434
"08-2014","TETUÁN",151633
"08-2014","CHAMBERÍ",137779
"08-2014","PUENTE DE VALLECAS",227493
"08-2014","LATINA",235900
"08-2014","VILLAVERDE",141772
"08-2014","BARAJAS",45757
"08-2014","CARABANCHEL",241779
"08-2014","USERA",133181
"08-2014","HORTALEZA",174152
"08-2014","RETIRO",118383
"08-2014","CHAMARTÍN",141891
"08-2014","MADRID",3155535
"09-2014","ARGANZUELA",151090
"09-2014","MORATALAZ",95582
"09-2014","MONCLOA - ARAVACA",116375
"09-2014","FUENCARRAL - EL PARDO",233874
"09-2014","SALAMANCA",143198
"09-2014","SAN BLAS-CANILLEJAS",153397
"09-2014","CIUDAD LINEAL",213527
"09-2014","CENTRO",132348
