Paro registrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado en la Ciudad de Madrid (desde mayo de 2005);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.5. Paro registrado por Distrito, Nivel formativo y Sexo, por Mes (desde 2012);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Total;Total;Total;Sin estudios;Sin estudios;Sin estudios;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios completos;Estudios primarios completos;Estudios primarios completos;Programas de formación profesional;Programas de formación profesional;Programas de formación profesional;Educación general;Educación general;Educación general;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Otros;Otros;Otros;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.
;;;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
2020;Febrero;11. Carabanchel;16.114;7.166;8.948;118;49;69;1.129;497;632;6.857;3.194;3.663;905;350;555;4.764;2.236;2.528;791;323;468;386;116;270;1.157;399;758;7;2;5;0;0;0
2020;Febrero;12. Usera;9.529;4.205;5.324;56;21;35;2.026;932;1.094;2.567;1.199;1.368;559;223;336;3.358;1.471;1.887;357;137;220;159;55;104;437;162;275;10;5;5;0;0;0
2020;Febrero;13. Puente de Vallecas;17.806;8.175;9.631;630;276;354;2.092;955;1.137;4.570;2.204;2.366;1.089;435;654;7.800;3.671;4.129;658;283;375;221;79;142;736;268;468;10;4;6;0;0;0
2020;Febrero;14. Moratalaz;5.018;2.181;2.837;73;30;43;369;161;208;1.472;642;830;286;111;175;1.806;851;955;303;127;176;170;54;116;535;203;332;4;2;2;0;0;0
2020;Febrero;15. Ciudad Lineal;10.467;4.607;5.860;64;22;42;240;117;123;3.491;1.635;1.856;546;210;336;3.626;1.682;1.944;608;255;353;388;130;258;1.489;554;935;15;2;13;0;0;0
2020;Febrero;16. Hortaleza;7.856;3.337;4.519;85;36;49;344;164;180;2.175;998;1.177;430;160;270;2.523;1.137;1.386;495;219;276;374;118;256;1.417;501;916;13;4;9;0;0;0
2020;Febrero;17. Villaverde;10.808;4.706;6.102;67;20;47;607;256;351;4.374;1.993;2.381;634;231;403;4.085;1.836;2.249;442;182;260;173;45;128;421;141;280;5;2;3;0;0;0
2020;Febrero;18. Villa de Vallecas;7.306;3.016;4.290;129;53;76;1.088;510;578;2.112;931;1.181;444;151;293;2.524;1.046;1.478;356;128;228;177;44;133;474;152;322;2;1;1;0;0;0
2020;Febrero;19. Vicálvaro;4.550;1.915;2.635;108;46;62;429;204;225;1.446;648;798;304;111;193;1.576;709;867;243;78;165;134;31;103;307;88;219;3;0;3;0;0;0
2020;Febrero;20. San Blas-Canillejas;8.747;3.894;4.853;79;31;48;290;114;176;2.819;1.344;1.475;544;207;337;3.443;1.621;1.822;510;215;295;269;71;198;781;288;493;12;3;9;0;0;0
2020;Febrero;21. Barajas;1.894;803;1.091;19;6;13;64;20;44;407;192;215;92;33;59;755;344;411;127;49;78;102;34;68;327;125;202;1;0;1;0;0;0
2020;Marzo;Ciudad de Madrid;172.670;77.020;95.650;1.912;796;1.116;12.629;5.854;6.775;51.621;24.394;27.227;9.241;3.658;5.583;59.317;27.708;31.609;9.145;3.893;5.252;5.607;1.946;3.661;22.992;8.703;14.289;206;68;138;0;0;0
2020;Marzo;01. Centro;8.158;4.291;3.867;62;33;29;341;197;144;2.480;1.415;1.065;314;172;142;2.465;1.382;1.083;415;192;223;327;157;170;1.736;736;1.000;18;7;11;0;0;0
2020;Marzo;02. Arganzuela;7.028;3.171;3.857;44;24;20;202;105;97;1.351;647;704;371;160;211;2.429;1.163;1.266;503;247;256;416;162;254;1.691;659;1.032;21;4;17;0;0;0
2020;Marzo;03. Retiro;4.199;1.832;2.367;12;5;7;119;52;67;1.111;531;580;163;78;85;1.162;528;634;255;121;134;223;81;142;1.146;433;713;8;3;5;0;0;0
2020;Marzo;04. Salamanca;4.901;2.055;2.846;11;5;6;88;30;58;1.676;722;954;169;64;105;1.196;551;645;243;121;122;246;83;163;1.255;475;780;17;4;13;0;0;0
2020;Marzo;05. Chamartín;4.713;2.027;2.686;21;5;16;100;50;50;1.343;640;703;160;49;111;1.182;522;660;247;99;148;238;92;146;1.413;567;846;9;3;6;0;0;0
2020;Marzo;06. Tetuán;8.519;3.798;4.721;28;12;16;638;276;362;3.214;1.524;1.690;391;147;244;2.457;1.138;1.319;357;152;205;217;70;147;1.209;478;731;8;1;7;0;0;0
2020;Marzo;07. Chamberí;4.960;2.137;2.823;18;7;11;172;87;85;979;482;497;173;60;113;1.456;667;789;254;118;136;241;89;152;1.656;622;1.034;11;5;6;0;0;0
2020;Marzo;08. Fuencarral-El Pardo;9.075;3.890;5.185;41;19;22;347;151;196;2.445;1.145;1.300;487;179;308;2.860;1.296;1.564;560;240;320;435;147;288;1.888;707;1.181;12;6;6;0;0;0
2020;Marzo;09. Moncloa-Aravaca;4.265;1.898;2.367;13;4;9;175;85;90;873;441;432;198;85;113;1.274;592;682;251;106;145;233;94;139;1.236;487;749;12;4;8;0;0;0
2020;Marzo;10. Latina;13.557;6.113;7.444;192;77;115;1.341;618;723;2.641;1.217;1.424;990;406;584;5.537;2.669;2.868;997;429;568;418;144;274;1.422;547;875;19;6;13;0;0;0
2020;Marzo;11. Carabanchel;16.653;7.494;9.159;121;49;72;1.197;526;671;7.152;3.362;3.790;885;346;539;4.908;2.338;2.570;805;323;482;392;123;269;1.186;425;761;7;2;5;0;0;0
